fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
aflplusplus,curl,4015,8,2,10,10
aflplusplus,curl,214,8,2,10,10
aflplusplus,curl,1192,8,2,10,10
aflplusplus,curl,215,10,0,10,10
aflplusplus,curl,216,6,4,10,10
aflplusplus,curl,4019,10,0,10,10
aflplusplus,curl,217,10,0,10,10
aflplusplus,curl,1198,8,2,10,10
aflplusplus,curl,218,10,0,10,10
aflplusplus,curl,4020,10,0,10,10
aflplusplus,curl,219,6,4,10,10
aflplusplus,curl,1201,8,2,10,10
aflplusplus,curl,220,8,2,10,10
aflplusplus,curl,1203,8,2,10,10
aflplusplus,curl,221,10,0,10,10
aflplusplus,curl,1205,10,0,10,10
aflplusplus,curl,222,3,6,9,10
aflplusplus,curl,223,3,6,9,10
aflplusplus,curl,4707,1,8,9,10
aflplusplus,curl,1208,8,1,9,10
aflplusplus,curl,224,6,3,9,10
aflplusplus,curl,1209,9,0,9,10
aflplusplus,curl,1211,9,0,9,10
aflplusplus,curl,4710,5,4,9,10
aflplusplus,curl,225,9,0,9,10
aflplusplus,curl,1213,8,2,10,10
aflplusplus,curl,226,9,1,10,10
aflplusplus,curl,227,8,2,10,10
aflplusplus,curl,228,9,1,10,10
aflplusplus,curl,4025,10,0,10,10
aflplusplus,curl,229,10,0,10,10
aflplusplus,curl,1218,0,10,10,10
aflplusplus,curl,230,10,0,10,10
aflplusplus,curl,232,10,0,10,10
aflplusplus,curl,231,2,8,10,10
aflplusplus,curl,4027,10,0,10,10
aflplusplus,curl,233,10,0,10,10
aflplusplus,curl,234,2,8,10,10
aflplusplus,curl,1223,10,0,10,10
aflplusplus,curl,235,10,0,10,10
aflplusplus,curl,236,1,9,10,10
aflplusplus,curl,237,2,8,10,10
aflplusplus,curl,4028,10,0,10,10
aflplusplus,curl,4727,10,0,10,10
aflplusplus,curl,1228,10,0,10,10
aflplusplus,curl,4729,6,4,10,10
aflplusplus,curl,4029,10,0,10,10
aflplusplus,curl,1229,2,6,8,10
aflplusplus,curl,1230,7,1,8,10
aflplusplus,curl,1231,2,5,7,10
aflplusplus,curl,2094,8,0,8,10
aflplusplus,curl,1232,4,4,8,10
aflplusplus,curl,238,8,2,10,10
aflplusplus,curl,4031,3,5,8,10
aflplusplus,curl,2097,8,0,8,10
aflplusplus,curl,4032,2,6,8,10
aflplusplus,curl,4033,3,5,8,10
aflplusplus,curl,2098,8,0,8,10
aflplusplus,curl,2099,8,0,8,10
aflplusplus,curl,4034,3,5,8,10
aflplusplus,curl,2100,8,0,8,10
aflplusplus,curl,2101,8,0,8,10
aflplusplus,curl,2102,8,0,8,10
aflplusplus,curl,239,7,3,10,10
aflplusplus,curl,1236,7,0,7,10
aflplusplus,curl,1235,2,5,7,10
aflplusplus,curl,2104,8,0,8,10
aflplusplus,curl,4037,1,7,8,10
aflplusplus,curl,4038,1,7,8,10
aflplusplus,curl,2105,8,0,8,10
aflplusplus,curl,4039,1,7,8,10
aflplusplus,curl,4040,1,6,7,10
aflplusplus,curl,4041,3,4,7,10
aflplusplus,curl,1237,7,1,8,10
aflplusplus,curl,1239,7,0,7,10
aflplusplus,curl,1238,4,3,7,10
aflplusplus,curl,2108,8,0,8,10
aflplusplus,curl,2109,8,0,8,10
