target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
lcms,value_profile_cmplog,1,24,3600,86400,7526,153442800.0,0.246236,1945
lcms,value_profile_cmplog,2,24,3600,86400,7526,151934400.0,0.243816,1916
lcms,value_profile_cmplog,3,24,3600,86400,7526,147996000.0,0.237496,1880
lcms,value_profile_cmplog,4,24,3600,86400,7526,152890200.0,0.245349,1962
lcms,value_profile_cmplog,5,24,3600,86400,7526,164500200.0,0.263981,2026
lcms,value_profile_cmplog,6,24,3600,86400,7526,115637400.0,0.185568,1439
lcms,value_profile_cmplog,7,24,3600,86400,7526,156088800.0,0.250482,1920
lcms,value_profile_cmplog,8,24,3600,86400,7526,161073000.0,0.258481,1991
lcms,value_profile_cmplog,9,24,3600,86400,7526,132136200.0,0.212045,1781
lcms,value_profile_cmplog,10,24,3600,86400,7526,162675000.0,0.261052,2047
lcms,naive_ctx,1,23,3600,82800,7526,99354600.0,0.166686,1257
lcms,naive_ctx,2,23,3600,82800,7526,99631800.0,0.167151,1258
lcms,naive_ctx,3,23,3600,82800,7526,99792000.0,0.16742,1260
lcms,naive_ctx,4,24,3600,86400,7526,104162400.0,0.167154,1258
lcms,naive_ctx,5,24,3600,86400,7526,103912200.0,0.166752,1256
lcms,naive_ctx,6,24,3600,86400,7526,103777200.0,0.166536,1255
lcms,naive_ctx,7,23,3600,82800,7526,99156600.0,0.166354,1252
lcms,naive_ctx,8,24,3600,86400,7526,104162400.0,0.167154,1258
lcms,naive_ctx,9,23,3600,82800,7526,99673200.0,0.16722,1260
lcms,naive_ctx,10,24,3600,86400,7526,103662000.0,0.166351,1252
lcms,naive_ngram4,1,24,3600,86400,7526,104162400.0,0.167154,1259
lcms,naive_ngram4,2,24,3600,86400,7526,103822200.0,0.166608,1255
lcms,naive_ngram4,3,23,3600,82800,7526,99743400.0,0.167338,1260
lcms,naive_ngram4,4,19,3600,68400,7526,81594000.0,0.167309,1262
