target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div
harfbuzz,5843,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:initial_reordering_consonant_syllable(hb_ot_shape_plan_t const*, hb_face_t*, hb_buffer_t*, unsigned int, unsigned int)",643,7,T,  if (has_reph),1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":14.7,""hit_div"":22.3}]","[""cmplog"", ""naive""]",9,1,0,1,9,0,9,1,0,7,3,0,10,0,0,10,0,0,10,0,0,10,0,0,,,,1,9,0,0.8,14.7,22.3
harfbuzz,5857,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:initial_reordering_consonant_syllable(hb_ot_shape_plan_t const*, hb_face_t*, hb_buffer_t*, unsigned int, unsigned int)",849,45,T,    for (unsigned int i = start; i < end && info[i].indic_position() == POS_RA_TO_BECOME_REPH; i++),1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":14.7,""hit_div"":22.9}]","[""cmplog"", ""naive""]",9,1,0,1,9,0,9,1,0,7,3,0,10,0,0,10,0,0,10,0,0,10,0,0,,,,1,9,0,0.8,14.7,22.9
harfbuzz,5868,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:final_reordering_syllable_indic(hb_ot_shape_plan_t const*, hb_buffer_t*, unsigned int, unsigned int)",1030,7,T,  if (virama_glyph),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":9.7,""hit_div"":72.2}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,3,7,0,0,10,0,8,2,0,,,,,,,,,,,,,,,,7,3,0,0.8,9.7,72.2
harfbuzz,5876,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:final_reordering_syllable_indic(hb_ot_shape_plan_t const*, hb_buffer_t*, unsigned int, unsigned int)",1089,11,T,	  while (i < end && is_joiner (info[i])),1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":7.2,""hit_div"":5.3}]","[""naive"", ""naive_ctx""]",1,9,0,0,1,9,5,4,1,5,1,4,9,1,0,3,7,0,4,3,3,6,4,0,6,4,0,,,,0.8,7.2,5.3
harfbuzz,5877,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:final_reordering_syllable_indic(hb_ot_shape_plan_t const*, hb_buffer_t*, unsigned int, unsigned int)",1091,8,T,	  if (i < end && is_consonant (info[i]) && info[i].indic_position() == POS_BELOW_C),1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":3.6,""hit_div"":2.5}]","[""naive"", ""naive_ctx""]",1,9,0,0,1,9,5,4,1,5,1,4,9,1,0,2,8,0,4,3,3,4,6,0,5,5,0,,,,0.8,3.6,2.5
harfbuzz,5878,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:final_reordering_syllable_indic(hb_ot_shape_plan_t const*, hb_buffer_t*, unsigned int, unsigned int)",1099,27,T,      if (start < base && info[base].indic_position() > POS_BASE_C),1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":13.6,""hit_div"":15.3}]","[""naive"", ""naive_ctx""]",2,8,0,0,10,0,2,8,0,1,9,0,10,0,0,1,9,0,2,8,0,4,6,0,4,6,0,,,,0.8,13.6,15.3
harfbuzz,5886,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:final_reordering_syllable_indic(hb_ot_shape_plan_t const*, hb_buffer_t*, unsigned int, unsigned int)",1160,4,F,	  info[new_pos].indic_position() != POS_PRE_M),1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":16.2,""hit_div"":19.0}]","[""naive"", ""naive_ctx""]",2,8,0,0,0,10,4,6,0,3,3,4,10,0,0,3,7,0,3,7,0,2,8,0,3,7,0,,,,0.8,16.2,19.0
harfbuzz,5887,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:final_reordering_syllable_indic(hb_ot_shape_plan_t const*, hb_buffer_t*, unsigned int, unsigned int)",1170,8,T,	  if (info[new_pos + 1].indic_category() == I_Cat(ZWJ)),1,"[{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""A>B"",""winner"":""naive_ctx"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":16.6,""hit_div"":12.8}]","[""naive"", ""naive_ctx""]",2,8,0,0,0,10,5,5,0,1,5,4,10,0,0,3,7,0,4,6,0,6,4,0,6,4,0,,,,0.8,16.6,12.8
harfbuzz,5893,/src/harfbuzz/src/hb-ot-shaper-indic.cc,"hb-ot-shaper-indic.cc:final_reordering_syllable_indic(hb_ot_shape_plan_t const*, hb_buffer_t*, unsigned int, unsigned int)",1242,7,T,      info[start].indic_position() == POS_RA_TO_BECOME_REPH &&,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":13.8,""hit_div"":22.2}]","[""cmplog"", ""naive""]",9,1,0,1,9,0,9,1,0,7,3,0,10,0,0,10,0,0,10,0,0,10,0,0,,,,1,9,0,0.8,13.8,22.2
harfbuzz,5913,/src/harfbuzz/src/hb-ot-shaper-khmer-machine.hh,find_syllables_khmer(hb_buffer_t*),369,2,T,	case 3:,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":18.5,""hit_div"":49.9}]","[""cmplog"", ""naive""]",10,0,0,2,8,0,10,0,0,5,5,0,,,,,,,,,,,,,,,,1,9,0,0.8,18.5,49.9
