target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
harfbuzz,cmplog,2,24,3600,86400,17002,375087600.0,0.266442,4737
harfbuzz,cmplog,3,24,3600,86400,17002,389446200.0,0.276641,5163
harfbuzz,cmplog,4,24,3600,86400,17002,380365200.0,0.270191,4846
harfbuzz,cmplog,5,24,3600,86400,17002,369286200.0,0.262321,4717
harfbuzz,cmplog,6,24,3600,86400,17002,382554000.0,0.271746,5145
harfbuzz,cmplog,7,24,3600,86400,17002,375255000.0,0.266561,4790
harfbuzz,cmplog,8,24,3600,86400,17002,412191000.0,0.292798,5302
harfbuzz,cmplog,9,24,3600,86400,17002,405707400.0,0.288192,5287
harfbuzz,cmplog,10,24,3600,86400,17002,373024800.0,0.264976,4779
harfbuzz,value_profile,1,24,3600,86400,17002,347176800.0,0.246615,4452
harfbuzz,value_profile,2,24,3600,86400,17002,350915400.0,0.249271,4510
harfbuzz,value_profile,3,24,3600,86400,17002,350832600.0,0.249212,4554
harfbuzz,value_profile,4,24,3600,86400,17002,347005800.0,0.246494,4427
harfbuzz,value_profile,5,24,3600,86400,17002,351086400.0,0.249393,4466
harfbuzz,value_profile,6,24,3600,86400,17002,349239600.0,0.248081,4463
harfbuzz,value_profile,7,24,3600,86400,17002,347612400.0,0.246925,4434
harfbuzz,value_profile,8,24,3600,86400,17002,341386200.0,0.242502,4339
harfbuzz,value_profile,9,24,3600,86400,17002,339125400.0,0.240896,4387
harfbuzz,value_profile,10,24,3600,86400,17002,349873200.0,0.248531,4484
harfbuzz,value_profile_cmplog,1,24,3600,86400,17002,465444000.0,0.330626,6467
harfbuzz,value_profile_cmplog,2,24,3600,86400,17002,484774200.0,0.344357,6778
harfbuzz,value_profile_cmplog,3,24,3600,86400,17002,429865200.0,0.305353,5834
harfbuzz,value_profile_cmplog,4,24,3600,86400,17002,463069800.0,0.32894,6834
harfbuzz,value_profile_cmplog,5,24,3600,86400,17002,473434200.0,0.336302,6590
harfbuzz,value_profile_cmplog,6,24,3600,86400,17002,522757800.0,0.371339,6961
harfbuzz,value_profile_cmplog,7,24,3600,86400,17002,465298200.0,0.330522,6573
harfbuzz,value_profile_cmplog,8,24,3600,86400,17002,515388600.0,0.366104,6931
harfbuzz,value_profile_cmplog,9,24,3600,86400,17002,479055600.0,0.340295,6555
harfbuzz,value_profile_cmplog,10,24,3600,86400,17002,462835800.0,0.328773,6357
harfbuzz,naive_ctx,1,24,3600,86400,17002,355541400.0,0.252557,4603
harfbuzz,naive_ctx,2,24,3600,86400,17002,343269000.0,0.24384,4398
harfbuzz,naive_ctx,3,24,3600,86400,17002,346230000.0,0.245943,4523
harfbuzz,naive_ctx,4,24,3600,86400,17002,343209600.0,0.243797,4435
harfbuzz,naive_ctx,5,24,3600,86400,17002,343879200.0,0.244273,4441
harfbuzz,naive_ctx,6,24,3600,86400,17002,346968000.0,0.246467,4410
harfbuzz,naive_ctx,7,24,3600,86400,17002,353266200.0,0.250941,4476
harfbuzz,naive_ctx,8,24,3600,86400,17002,338288400.0,0.240302,4321
harfbuzz,naive_ctx,9,24,3600,86400,17002,342217800.0,0.243093,4382
harfbuzz,naive_ctx,10,24,3600,86400,17002,339778800.0,0.24136,4260
harfbuzz,naive_ngram4,1,24,3600,86400,17002,328347000.0,0.23324,4151
harfbuzz,naive_ngram4,2,24,3600,86400,17002,329081400.0,0.233762,4120
harfbuzz,naive_ngram4,3,24,3600,86400,17002,325537200.0,0.231244,4120
harfbuzz,naive_ngram4,4,24,3600,86400,17002,326946600.0,0.232245,4103
harfbuzz,naive_ngram4,5,24,3600,86400,17002,331009200.0,0.235131,4142
harfbuzz,naive_ngram4,6,24,3600,86400,17002,340538400.0,0.2419,4322
harfbuzz,naive_ngram4,7,24,3600,86400,17002,332978400.0,0.23653,4247
harfbuzz,naive_ngram4,8,24,3600,86400,17002,331767000.0,0.235669,4189
harfbuzz,naive_ngram4,9,24,3600,86400,17002,327349800.0,0.232531,4144
harfbuzz,naive_ngram4,10,24,3600,86400,17002,326741400.0,0.232099,4125
harfbuzz,mopt,1,24,3600,86400,17002,326500200.0,0.231928,4120
harfbuzz,mopt,2,24,3600,86400,17002,333783000.0,0.237101,4193
harfbuzz,mopt,3,24,3600,86400,17002,323728200.0,0.229959,4076
harfbuzz,mopt,4,24,3600,86400,17002,328269600.0,0.233185,4194
harfbuzz,mopt,5,24,3600,86400,17002,324801000.0,0.230721,4215
harfbuzz,mopt,6,24,3600,86400,17002,316189800.0,0.224604,4078
harfbuzz,mopt,7,24,3600,86400,17002,327798000.0,0.23285,4135
harfbuzz,mopt,8,24,3600,86400,17002,325695600.0,0.231356,4167
harfbuzz,mopt,9,24,3600,86400,17002,324756000.0,0.230689,4104
harfbuzz,mopt,10,24,3600,86400,17002,328406400.0,0.233282,4221
harfbuzz,minimizer,1,24,3600,86400,17002,344381400.0,0.24463,4350
harfbuzz,minimizer,2,24,3600,86400,17002,330352200.0,0.234664,4165
harfbuzz,minimizer,3,24,3600,86400,17002,345191400.0,0.245205,4370
harfbuzz,minimizer,4,24,3600,86400,17002,354706200.0,0.251964,4530
harfbuzz,minimizer,5,24,3600,86400,17002,342347400.0,0.243185,4422
harfbuzz,minimizer,6,24,3600,86400,17002,346217400.0,0.245934,4321
harfbuzz,minimizer,7,24,3600,86400,17002,335302200.0,0.23818,4287
harfbuzz,minimizer,8,24,3600,86400,17002,341906400.0,0.242872,4272
harfbuzz,minimizer,9,24,3600,86400,17002,349615800.0,0.248348,4455
harfbuzz,minimizer,10,24,3600,86400,17002,339051600.0,0.240844,4385
harfbuzz,fast,1,24,3600,86400,17002,328393800.0,0.233273,4142
harfbuzz,fast,2,24,3600,86400,17002,339723000.0,0.241321,4301
harfbuzz,fast,3,24,3600,86400,17002,357550200.0,0.253984,4649
harfbuzz,fast,4,24,3600,86400,17002,359353800.0,0.255265,4532
harfbuzz,fast,5,24,3600,86400,17002,362838600.0,0.257741,4633
harfbuzz,fast,6,24,3600,86400,17002,351615600.0,0.249769,4529
harfbuzz,fast,7,24,3600,86400,17002,333428400.0,0.236849,4304
harfbuzz,fast,8,24,3600,86400,17002,340711200.0,0.242023,4298
harfbuzz,fast,9,24,3600,86400,17002,353242800.0,0.250924,4411
