target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
curl,428,/src/curl/lib/url.c,url.c:parseurlandfillconn,2030,6,T,  if(uc) {,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":10.05,""hit_div"":7.6},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.0,""hit_div"":9.1}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",2,8,0,10,0,0,0,10,0,10,0,0,1.0,11.0,9.1,BRBR,/src/curl/lib/url.c::url.c:parseurlandfillconn::L2000-2049,1
curl,506,/src/curl/lib/urlapi.c,urlapi.c:parseurl,946,19,T,"  if(schemelen && !strcmp(schemebuf, ""file"")) {",2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":10.0,""hit_div"":18.7},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.75,""hit_div"":24.9}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",2,8,0,10,0,0,0,10,0,10,0,0,1.0,11.75,24.9,BRBR,/src/curl/lib/urlapi.c::urlapi.c:parseurl::L900-949,1
curl,512,/src/curl/lib/urlapi.c,urlapi.c:parseurl,1238,6,F,  if(Curl_dyn_len(&host)) {,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":10.05,""hit_div"":7.6},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.0,""hit_div"":9.1}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",2,8,0,10,0,0,0,10,0,10,0,0,1.0,11.0,9.1,BRBR,/src/curl/lib/urlapi.c::urlapi.c:parseurl::L1200-1249,1
curl,10,/src/curl/lib/conncache.c,conncache.c:hashkey,149,8,F,    if(conn->bits.conn_to_host),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":7.1,""hit_div"":6.0},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.55,""hit_div"":7.2}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,8,2,0,0,10,0,9,1,0,0.9,7.55,7.2,BRBR,/src/curl/lib/conncache.c::conncache.c:hashkey::L100-149,1
curl,247,/src/curl/lib/mprintf.c,mprintf.c:dprintf_formatf,735,16,T,      is_neg = (p->data.num.as_signed < (mp_intmax_t)0) ? 1 : 0;,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":8.85,""hit_div"":3.4},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":8.05,""hit_div"":3.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,10,0,0,0,10,0,9,1,0,0.9,8.85,3.8,BRBR,/src/curl/lib/mprintf.c::mprintf.c:dprintf_formatf::L700-749,2
curl,249,/src/curl/lib/mprintf.c,mprintf.c:dprintf_formatf,780,10,T,      if(is_neg || (p->flags & FLAGS_SHOWSIGN) || (p->flags & FLAGS_SPACE)),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":8.85,""hit_div"":3.4},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":8.05,""hit_div"":3.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,10,0,0,0,10,0,9,1,0,0.9,8.85,3.8,BRBR,/src/curl/lib/mprintf.c::mprintf.c:dprintf_formatf::L750-799,2
curl,399,/src/curl/lib/transfer.c,transfer.c:readwrite_data,849,8,F,    if(is_empty_data) {,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":10.85,""hit_div"":559.4},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":11.4,""hit_div"":630.6}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,10,0,0,1,9,0,10,0,0,0.9,11.4,630.6,BRBR,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L800-849,1
curl,402,/src/curl/lib/transfer.c,transfer.c:readwrite_upload,936,6,F,  if((k->bytecount == 0) && (k->writebytecount == 0)),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":5.35,""hit_div"":4.0},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":6.05,""hit_div"":2.2}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,8,2,0,0,10,0,9,1,0,0.9,6.05,4.0,BRBR,/src/curl/lib/transfer.c::transfer.c:readwrite_upload::L900-949,1
curl,453,/src/curl/lib/url.c,url.c:resolve_host,3506,14,F,  connhost = conn->bits.conn_to_host ? &conn->conn_to_host : &conn->host;,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":7.1,""hit_div"":1.5},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.55,""hit_div"":1.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,8,2,0,0,10,0,9,1,0,0.9,7.55,1.8,BRBR,/src/curl/lib/url.c::url.c:resolve_host::L3500-3549,1
curl,455,/src/curl/lib/url.c,url.c:create_conn,3838,7,F,  if((conn->bits.conn_to_host || conn->bits.conn_to_port) &&,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":7.1,""hit_div"":1.5},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.55,""hit_div"":1.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,8,2,0,0,10,0,9,1,0,0.9,7.55,1.8,BRBR,/src/curl/lib/url.c::url.c:create_conn::L3800-3849,1
