target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div
libxml2,6663,/src/libxml2/parser.c,xmlParseElementDecl,6728,13,T,	} else if ((RAW == 'A') && (NXT(1) == 'N') &&,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":12.2,""hit_div"":3.3}]","[""cmplog"", ""value_profile_cmplog""]",1,9,0,0,10,0,5,5,0,8,2,0,2,8,0,0,10,0,0,10,0,0,10,0,,,,1,9,0,0.8,12.2,3.3
libxml2,6696,/src/libxml2/parser.c,xmlParsePEReference,8015,9,F,    if (RAW != ';') {,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":10.3,""hit_div"":4.4}]","[""cmplog"", ""value_profile_cmplog""]",0,9,1,2,8,0,4,6,0,10,0,0,3,7,0,,,,,,,1,9,0,0,10,0,2,8,0,0.8,10.3,4.4
libxml2,6726,/src/libxml2/parser.c,parser.c:xmlParseStartTag2,9422,13,T,        if ((attname == ctxt->str_xmlns) && (aprefix == NULL)) {,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":7.8,""hit_div"":4.8}]","[""cmplog"", ""value_profile_cmplog""]",1,9,0,0,10,0,7,3,0,8,2,0,1,9,0,0,10,0,0,10,0,1,9,0,1,9,0,3,7,0,0.8,7.8,4.8
libxml2,6740,/src/libxml2/parser.c,parser.c:xmlParseStartTag2,9633,7,T,		if ((attname == ctxt->str_xmlns) && (aprefix == NULL)) {,1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":15.0,""hit_div"":4.9}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,3,7,0,1,9,0,9,1,0,2,7,1,,,,,,,2,8,0,1,9,0,7,3,0,0.8,15.0,4.9
libxml2,6743,/src/libxml2/parser.c,parser.c:xmlParseStartTag2,9668,8,T,			if ((attname == atts[j]) && (aprefix == atts[j+1])),1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""A>B"",""winner"":""grimoire"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":14.4,""hit_div"":18.0}]","[""cmplog"", ""grimoire""]",0,10,0,2,8,0,1,9,0,3,7,0,,,,,,,,,,0,10,0,3,5,2,10,0,0,0.8,14.4,18.0
libxml2,6756,/src/libxml2/parser.c,xmlParseCDSect,9890,9,T,    if (!IS_CHAR(s)) {,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":7.4,""hit_div"":1.4}]","[""naive"", ""value_profile""]",1,9,0,0,9,1,9,1,0,3,7,0,0,9,1,0,6,4,0,9,1,0,9,1,,,,3,6,1,0.8,7.4,1.4
libxml2,6809,/src/libxml2/parser.c,parser.c:xmlCheckCdataPush,11351,29,T,	    else if ((c == 0xA) || (c == 0xD) || (c == 0x9)),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":12.07,""hit_div"":2.1}]","[""value_profile"", ""value_profile_cmplog""]",0,9,1,2,6,2,2,8,0,8,0,2,3,5,2,,,,,,,3,7,0,0,10,0,6,4,0,0.8,12.07,2.1
libxml2,6818,/src/libxml2/parser.c,parser.c:xmlParseTryOrFinish,11539,7,T,		if (cur == 0) {,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":18.9,""hit_div"":2.6}]","[""cmplog"", ""naive""]",0,10,0,8,2,0,6,4,0,7,3,0,2,8,0,3,7,0,2,8,0,1,9,0,2,8,0,7,3,0,0.8,18.9,2.6
libxml2,6869,/src/libxml2/parserInternals.c,xmlParserInputGrow,309,9,T,    if (xmlBufUse(in->buf->buffer) > (unsigned int) indx + INPUT_CHUNK) {,1,"[{""A"":""grimoire"",""B"":""cmplog"",""delta"":""grimoire_structural"",""direction"":""B>A"",""winner"":""cmplog"",""loser"":""grimoire"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":11.8,""hit_div"":10.1}]","[""cmplog"", ""grimoire""]",7,3,0,9,1,0,9,1,0,10,0,0,7,3,0,9,1,0,10,0,0,9,1,0,10,0,0,1,9,0,0.8,11.8,10.1
libxml2,6910,/src/libxml2/tree.c,xmlSplitQName3,334,9,T,    if (name[0] == ':'),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":15.9,""hit_div"":25.1}]","[""value_profile"", ""value_profile_cmplog""]",4,6,0,9,1,0,2,8,0,10,0,0,8,2,0,0,10,0,0,10,0,4,6,0,2,8,0,10,0,0,0.8,15.9,25.1
